,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
33,Albania,Potatoes,2000,141228,1485.0,565.82,16.67
34,Albania,Potatoes,2001,148818,1485.0,628.79,16.59
35,Albania,Potatoes,2002,153868,1485.0,691.75,16.47
36,Albania,Potatoes,2004,149346,1485.0,817.68,16.16
37,Albania,Potatoes,2005,167061,1485.0,880.64,15.67
38,Albania,Potatoes,2006,170745,1485.0,943.61,15.92
39,Albania,Potatoes,2007,188902,1485.0,1006.57,16.67
40,Albania,Potatoes,2008,193878,1485.0,1069.54,16.71
41,Albania,Potatoes,2009,219780,1485.0,1132.5,16.73
42,Albania,Potatoes,2010,231111,1485.0,1311.17,16.52
43,Albania,Potatoes,2011,242211,1485.0,1302.63,16.45
44,Albania,Potatoes,2012,250538,1485.0,766.25,16.7
45,Albania,Potatoes,2013,260110,1485.0,982.32,17.41
46,Albania,"Rice, paddy",1990,23333,1485.0,121.0,16.37
47,Albania,"Rice, paddy",1991,28538,1485.0,121.0,15.36
48,Albania,"Rice, paddy",1992,40000,1485.0,121.0,16.06
49,Albania,"Rice, paddy",1993,41786,1485.0,121.0,16.05
50,Albania,Sorghum,1990,12500,1485.0,121.0,16.37
51,Albania,Sorghum,1991,6667,1485.0,121.0,15.36
52,Albania,Sorghum,1992,3747,1485.0,121.0,16.06
53,Albania,Soybeans,1990,7000,1485.0,121.0,16.37
54,Albania,Soybeans,1991,6066,1485.0,121.0,15.36
55,Albania,Soybeans,1992,4507,1485.0,121.0,16.06
56,Albania,Soybeans,1993,7998,1485.0,121.0,16.05
57,Albania,Soybeans,1994,7927,1485.0,201.0,16.96
58,Albania,Soybeans,1995,11791,1485.0,251.0,15.67
59,Albania,Soybeans,1996,15480,1485.0,313.96,15.64
60,Albania,Soybeans,1997,12768,1485.0,376.93,15.9
61,Albania,Soybeans,1998,14327,1485.0,439.89,16.27
62,Albania,Soybeans,1999,17143,1485.0,502.86,16.57
63,Albania,Soybeans,2000,15000,1485.0,565.82,16.67
64,Albania,Soybeans,2001,20000,1485.0,628.79,16.59
65,Albania,Soybeans,2002,20000,1485.0,691.75,16.47
66,Albania,Soybeans,2004,13333,1485.0,817.68,16.16
67,Albania,Soybeans,2005,17500,1485.0,880.64,15.67
68,Albania,Soybeans,2006,20000,1485.0,943.61,15.92
69,Albania,Soybeans,2007,20000,1485.0,1006.57,16.67
70,Albania,Soybeans,2008,20000,1485.0,1069.54,16.71
71,Albania,Soybeans,2009,16667,1485.0,1132.5,16.73
72,Albania,Soybeans,2010,16667,1485.0,1311.17,16.52
73,Albania,Soybeans,2011,18519,1485.0,1302.63,16.45
74,Albania,Soybeans,2012,13333,1485.0,766.25,16.7
75,Albania,Soybeans,2013,10000,1485.0,982.32,17.41
76,Albania,Wheat,1990,30197,1485.0,121.0,16.37
77,Albania,Wheat,1991,20698,1485.0,121.0,15.36
78,Albania,Wheat,1992,24388,1485.0,121.0,16.06
79,Albania,Wheat,1993,29976,1485.0,121.0,16.05
80,Albania,Wheat,1994,24745,1485.0,201.0,16.96
81,Albania,Wheat,1995,28703,1485.0,251.0,15.67
82,Albania,Wheat,1996,21741,1485.0,313.96,15.64
83,Albania,Wheat,1997,28516,1485.0,376.93,15.9
84,Albania,Wheat,1998,28037,1485.0,439.89,16.27
85,Albania,Wheat,1999,24954,1485.0,502.86,16.57
86,Albania,Wheat,2000,30455,1485.0,565.82,16.67
87,Albania,Wheat,2001,28220,1485.0,628.79,16.59
88,Albania,Wheat,2002,31617,1485.0,691.75,16.47
89,Albania,Wheat,2004,31130,1485.0,817.68,16.16
90,Albania,Wheat,2005,31582,1485.0,880.64,15.67
91,Albania,Wheat,2006,30787,1485.0,943.61,15.92
92,Albania,Wheat,2007,35496,1485.0,1006.57,16.67
93,Albania,Wheat,2008,40168,1485.0,1069.54,16.71
94,Albania,Wheat,2009,40229,1485.0,1132.5,16.73
95,Albania,Wheat,2010,39905,1485.0,1311.17,16.52
96,Albania,Wheat,2011,42301,1485.0,1302.63,16.45
97,Albania,Wheat,2012,41096,1485.0,766.25,16.7
98,Albania,Wheat,2013,41292,1485.0,982.32,17.41
99,Algeria,Maize,1990,16500,89.0,1828.92,17.48
100,Algeria,Maize,1991,19231,89.0,2461.8,16.26
101,Algeria,Maize,1992,22828,89.0,1215.47,16.27
102,Algeria,Maize,1993,12500,89.0,1021.89,17.0
103,Algeria,Maize,1994,4512,89.0,1255.02,17.88
104,Algeria,Maize,1995,16115,89.0,2697.09,17.36
105,Algeria,Maize,1996,17154,89.0,479.77,16.76
106,Algeria,Maize,1997,21417,89.0,401.22,17.84
107,Algeria,Maize,1998,17222,89.0,322.84,17.14
108,Algeria,Maize,1999,22375,89.0,654.45,17.97
109,Algeria,Maize,2000,36186,89.0,603.67,17.9
110,Algeria,Maize,2001,27175,89.0,710.11,18.13
111,Algeria,Maize,2002,33480,89.0,816.55,17.85
112,Algeria,Maize,2004,31729,89.0,3747.86,17.38
113,Algeria,Maize,2005,33864,89.0,3662.87,17.19
114,Algeria,Maize,2006,65668,89.0,4110.72,18.13
115,Algeria,Maize,2007,85625,89.0,5390.79,17.42
116,Algeria,Maize,2008,44714,89.0,11556.12,17.55
117,Algeria,Maize,2009,30914,89.0,3867.99,17.78
118,Algeria,Maize,2010,25827,89.0,1295.88,17.59
119,Algeria,Maize,2011,23374,89.0,13861.76,17.79
120,Algeria,Maize,2012,25583,89.0,17379.76,17.91
121,Algeria,Maize,2013,33649,89.0,17278.65,17.65
122,Algeria,Potatoes,1990,78936,89.0,1828.92,17.48
123,Algeria,Potatoes,1991,90747,89.0,2461.8,16.26
124,Algeria,Potatoes,1992,107917,89.0,1215.47,16.27
125,Algeria,Potatoes,1993,111215,89.0,1021.89,17.0
126,Algeria,Potatoes,1994,95078,89.0,1255.02,17.88
127,Algeria,Potatoes,1995,136768,89.0,2697.09,17.36
128,Algeria,Potatoes,1996,134629,89.0,479.77,16.76
129,Algeria,Potatoes,1997,141042,89.0,401.22,17.84
130,Algeria,Potatoes,1998,160256,89.0,322.84,17.14
131,Algeria,Potatoes,1999,153532,89.0,654.45,17.97
132,Algeria,Potatoes,2000,166143,89.0,603.67,17.9
133,Algeria,Potatoes,2001,147018,89.0,710.11,18.13
134,Algeria,Potatoes,2002,183774,89.0,816.55,17.85
135,Algeria,Potatoes,2004,203585,89.0,3747.86,17.38
136,Algeria,Potatoes,2005,216267,89.0,3662.87,17.19
137,Algeria,Potatoes,2006,220689,89.0,4110.72,18.13
138,Algeria,Potatoes,2007,189927,89.0,5390.79,17.42
139,Algeria,Potatoes,2008,236393,89.0,11556.12,17.55
140,Algeria,Potatoes,2009,250764,89.0,3867.99,17.78
141,Algeria,Potatoes,2010,270526,89.0,1295.88,17.59
142,Algeria,Potatoes,2011,292806,89.0,13861.76,17.79
143,Algeria,Potatoes,2012,304291,89.0,17379.76,17.91
144,Algeria,Potatoes,2013,303218,89.0,17278.65,17.65
145,Algeria,"Rice, paddy",1990,28000,89.0,1828.92,17.48
146,Algeria,"Rice, paddy",1991,26786,89.0,2461.8,16.26
147,Algeria,"Rice, paddy",1992,24733,89.0,1215.47,16.27
148,Algeria,"Rice, paddy",1993,23111,89.0,1021.89,17.0
149,Algeria,"Rice, paddy",1994,21374,89.0,1255.02,17.88
150,Algeria,"Rice, paddy",1995,19598,89.0,2697.09,17.36
151,Algeria,"Rice, paddy",1996,17861,89.0,479.77,16.76
152,Algeria,"Rice, paddy",1997,15000,89.0,401.22,17.84
153,Algeria,"Rice, paddy",1998,15000,89.0,322.84,17.14
154,Algeria,"Rice, paddy",1999,13942,89.0,654.45,17.97
155,Algeria,"Rice, paddy",2000,13052,89.0,603.67,17.9
156,Algeria,"Rice, paddy",2001,12314,89.0,710.11,18.13
157,Algeria,"Rice, paddy",2002,12959,89.0,816.55,17.85
158,Algeria,"Rice, paddy",2004,12829,89.0,3747.86,17.38
159,Algeria,"Rice, paddy",2005,12998,89.0,3662.87,17.19
160,Algeria,"Rice, paddy",2006,12769,89.0,4110.72,18.13
161,Algeria,"Rice, paddy",2007,13375,89.0,5390.79,17.42
162,Algeria,"Rice, paddy",2008,13952,89.0,11556.12,17.55
163,Algeria,"Rice, paddy",2009,14594,89.0,3867.99,17.78
164,Algeria,"Rice, paddy",2010,15305,89.0,1295.88,17.59
165,Algeria,"Rice, paddy",2011,16081,89.0,13861.76,17.79
166,Algeria,"Rice, paddy",2012,16667,89.0,17379.76,17.91
167,Algeria,"Rice, paddy",2013,17778,89.0,17278.65,17.65
168,Algeria,Sorghum,1990,16571,89.0,1828.92,17.48
169,Algeria,Sorghum,1991,24231,89.0,2461.8,16.26
170,Algeria,Sorghum,1992,40000,89.0,1215.47,16.27
171,Algeria,Sorghum,1993,50000,89.0,1021.89,17.0
172,Algeria,Sorghum,1995,12667,89.0,2697.09,17.36
173,Algeria,Sorghum,1996,14750,89.0,479.77,16.76
174,Algeria,Sorghum,1997,40000,89.0,401.22,17.84
175,Algeria,Sorghum,1998,24500,89.0,322.84,17.14
176,Algeria,Sorghum,1999,27000,89.0,654.45,17.97
177,Algeria,Sorghum,2000,69500,89.0,603.67,17.9
178,Algeria,Sorghum,2001,27750,89.0,710.11,18.13
179,Algeria,Sorghum,2002,33900,89.0,816.55,17.85
180,Algeria,Sorghum,2004,43316,89.0,3747.86,17.38
181,Algeria,Sorghum,2005,33486,89.0,3662.87,17.19
182,Algeria,Sorghum,2006,56728,89.0,4110.72,18.13
183,Algeria,Sorghum,2007,119059,89.0,5390.79,17.42
184,Algeria,Sorghum,2008,61786,89.0,11556.12,17.55
185,Algeria,Sorghum,2009,90465,89.0,3867.99,17.78
186,Algeria,Sorghum,2010,30286,89.0,1295.88,17.59
187,Algeria,Sorghum,2011,100000,89.0,13861.76,17.79
188,Algeria,Sorghum,2012,206000,89.0,17379.76,17.91
189,Algeria,Sorghum,2013,60000,89.0,17278.65,17.65
190,Algeria,Wheat,1990,6315,89.0,1828.92,17.48
191,Algeria,Wheat,1991,10809,89.0,2461.8,16.26
192,Algeria,Wheat,1992,9939,89.0,1215.47,16.27
193,Algeria,Wheat,1993,8097,89.0,1021.89,17.0
194,Algeria,Wheat,1994,7999,89.0,1255.02,17.88
195,Algeria,Wheat,1995,8924,89.0,2697.09,17.36
196,Algeria,Wheat,1996,13090,89.0,479.77,16.76
197,Algeria,Wheat,1997,8016,89.0,401.22,17.84
198,Algeria,Wheat,1998,8847,89.0,322.84,17.14
199,Algeria,Wheat,1999,10711,89.0,654.45,17.97
200,Algeria,Wheat,2000,9194,89.0,603.67,17.9
201,Algeria,Wheat,2001,11104,89.0,710.11,18.13
202,Algeria,Wheat,2002,10739,89.0,816.55,17.85
203,Algeria,Wheat,2004,13582,89.0,3747.86,17.38
204,Algeria,Wheat,2005,15057,89.0,3662.87,17.19
205,Algeria,Wheat,2006,15068,89.0,4110.72,18.13
206,Algeria,Wheat,2007,12742,89.0,5390.79,17.42
207,Algeria,Wheat,2008,11038,89.0,11556.12,17.55
208,Algeria,Wheat,2009,15975,89.0,3867.99,17.78
209,Algeria,Wheat,2010,14838,89.0,1295.88,17.59
210,Algeria,Wheat,2011,17405,89.0,13861.76,17.79
211,Algeria,Wheat,2012,17639,89.0,17379.76,17.91
212,Algeria,Wheat,2013,19100,89.0,17278.65,17.65
213,Angola,Cassava,1990,41177,1010.0,64.0,24.12
214,Angola,Cassava,1991,40295,1010.0,79.0,24.02
215,Angola,Cassava,1992,42295,1010.0,23.0,23.96
216,Angola,Cassava,1993,42295,1010.0,169.0,24.15
217,Angola,Cassava,1994,58596,1010.0,25.5,24.04
218,Angola,Cassava,1995,51000,1010.0,336.0,24.56
219,Angola,Cassava,1996,48077,1010.0,40.0,24.11
220,Angola,Cassava,1997,44205,1010.0,40.0,24.06
221,Angola,Cassava,1998,55728,1010.0,40.0,24.96
222,Angola,Cassava,1999,59821,1010.0,40.0,24.37
223,Angola,Cassava,2000,82992,1010.0,40.0,24.41
224,Angola,Cassava,2001,94072,1010.0,40.0,24.43
225,Angola,Cassava,2002,110071,1010.0,40.0,24.79
226,Angola,Cassava,2004,125605,1010.0,40.0,24.22
227,Angola,Cassava,2005,117628,1010.0,40.0,24.41
228,Angola,Cassava,2006,117201,1010.0,40.0,24.14
229,Angola,Cassava,2007,115387,1010.0,40.0,24.24
230,Angola,Cassava,2008,148084,1010.0,40.0,24.27
231,Angola,Cassava,2009,151759,1010.0,40.0,24.33
232,Angola,Cassava,2010,155782,1010.0,40.0,24.44
233,Angola,Cassava,2011,133649,1010.0,40.0,24.15
234,Angola,Cassava,2012,100073,1010.0,40.0,24.24
235,Angola,Cassava,2013,140517,1010.0,40.0,24.55
236,Angola,Maize,1990,2736,1010.0,64.0,24.12
237,Angola,Maize,1991,4013,1010.0,79.0,24.02
238,Angola,Maize,1992,3778,1010.0,23.0,23.96
239,Angola,Maize,1993,2627,1010.0,169.0,24.15
240,Angola,Maize,1994,2463,1010.0,25.5,24.04
241,Angola,Maize,1995,3517,1010.0,336.0,24.56
242,Angola,Maize,1996,6993,1010.0,40.0,24.11
243,Angola,Maize,1997,5959,1010.0,40.0,24.06
244,Angola,Maize,1998,7396,1010.0,40.0,24.96
245,Angola,Maize,1999,6361,1010.0,40.0,24.37
246,Angola,Maize,2000,5745,1010.0,40.0,24.41
247,Angola,Maize,2001,5754,1010.0,40.0,24.43
248,Angola,Maize,2002,6706,1010.0,40.0,24.79
249,Angola,Maize,2004,5404,1010.0,40.0,24.22
250,Angola,Maize,2005,6736,1010.0,40.0,24.41
251,Angola,Maize,2006,4687,1010.0,40.0,24.14
252,Angola,Maize,2007,5091,1010.0,40.0,24.24
253,Angola,Maize,2008,7946,1010.0,40.0,24.27
254,Angola,Maize,2009,6614,1010.0,40.0,24.33
255,Angola,Maize,2010,7200,1010.0,40.0,24.44
256,Angola,Maize,2011,7376,1010.0,40.0,24.15
257,Angola,Maize,2012,7770,1010.0,40.0,24.24
258,Angola,Maize,2013,9467,1010.0,40.0,24.55
259,Angola,Potatoes,1990,40000,1010.0,64.0,24.12
260,Angola,Potatoes,1991,40000,1010.0,79.0,24.02
261,Angola,Potatoes,1992,40000,1010.0,23.0,23.96
262,Angola,Potatoes,1993,70000,1010.0,169.0,24.15
263,Angola,Potatoes,1994,90000,1010.0,25.5,24.04
264,Angola,Potatoes,1995,76738,1010.0,336.0,24.56
265,Angola,Potatoes,1996,70000,1010.0,40.0,24.11
266,Angola,Potatoes,1997,68571,1010.0,40.0,24.06
267,Angola,Potatoes,1998,62724,1010.0,40.0,24.96
268,Angola,Potatoes,1999,54597,1010.0,40.0,24.37
269,Angola,Potatoes,2000,29885,1010.0,40.0,24.41
270,Angola,Potatoes,2001,42552,1010.0,40.0,24.43
271,Angola,Potatoes,2002,42754,1010.0,40.0,24.79
272,Angola,Potatoes,2004,20150,1010.0,40.0,24.22
273,Angola,Potatoes,2005,23646,1010.0,40.0,24.41
274,Angola,Potatoes,2006,52148,1010.0,40.0,24.14
275,Angola,Potatoes,2007,62138,1010.0,40.0,24.24
276,Angola,Potatoes,2008,85085,1010.0,40.0,24.27
277,Angola,Potatoes,2009,86509,1010.0,40.0,24.33
278,Angola,Potatoes,2010,87425,1010.0,40.0,24.44
279,Angola,Potatoes,2011,81366,1010.0,40.0,24.15
280,Angola,Potatoes,2012,69381,1010.0,40.0,24.24
281,Angola,Potatoes,2013,63303,1010.0,40.0,24.55
282,Angola,"Rice, paddy",1990,9512,1010.0,64.0,24.12
283,Angola,"Rice, paddy",1991,10000,1010.0,79.0,24.02
284,Angola,"Rice, paddy",1992,9106,1010.0,23.0,23.96
285,Angola,"Rice, paddy",1993,8000,1010.0,169.0,24.15
286,Angola,"Rice, paddy",1994,8750,1010.0,25.5,24.04
287,Angola,"Rice, paddy",1995,14615,1010.0,336.0,24.56
288,Angola,"Rice, paddy",1996,17500,1010.0,40.0,24.11
289,Angola,"Rice, paddy",1997,20000,1010.0,40.0,24.06
290,Angola,"Rice, paddy",1998,20000,1010.0,40.0,24.96
291,Angola,"Rice, paddy",1999,14235,1010.0,40.0,24.37
292,Angola,"Rice, paddy",2000,13454,1010.0,40.0,24.41
293,Angola,"Rice, paddy",2001,13701,1010.0,40.0,24.43
294,Angola,"Rice, paddy",2002,13198,1010.0,40.0,24.79
295,Angola,"Rice, paddy",2004,11584,1010.0,40.0,24.22
296,Angola,"Rice, paddy",2005,6977,1010.0,40.0,24.41
297,Angola,"Rice, paddy",2006,4947,1010.0,40.0,24.14
298,Angola,"Rice, paddy",2007,5143,1010.0,40.0,24.24
299,Angola,"Rice, paddy",2008,5084,1010.0,40.0,24.27
300,Angola,"Rice, paddy",2009,6028,1010.0,40.0,24.33
301,Angola,"Rice, paddy",2010,7403,1010.0,40.0,24.44
302,Angola,"Rice, paddy",2011,8914,1010.0,40.0,24.15
303,Angola,"Rice, paddy",2012,7703,1010.0,40.0,24.24
304,Angola,"Rice, paddy",2013,12744,1010.0,40.0,24.55
305,Angola,Sorghum,2000,3333,1010.0,40.0,24.41
306,Angola,Sorghum,2001,3571,1010.0,40.0,24.43
307,Angola,Sorghum,2002,3400,1010.0,40.0,24.79
308,Angola,Sorghum,2004,3333,1010.0,40.0,24.22
309,Angola,Sorghum,2005,3333,1010.0,40.0,24.41
310,Angola,Sorghum,2006,4091,1010.0,40.0,24.14
311,Angola,Sorghum,2007,4031,1010.0,40.0,24.24
312,Angola,Sorghum,2008,929,1010.0,40.0,24.27
313,Angola,Sorghum,2009,2480,1010.0,40.0,24.33
314,Angola,Sorghum,2010,2814,1010.0,40.0,24.44
315,Angola,Sorghum,2011,3320,1010.0,40.0,24.15
316,Angola,Sorghum,2012,998,1010.0,40.0,24.24
317,Angola,Sorghum,2013,2415,1010.0,40.0,24.55
318,Angola,Soybeans,2000,2333,1010.0,40.0,24.41
319,Angola,Soybeans,2001,2500,1010.0,40.0,24.43
320,Angola,Soybeans,2002,2857,1010.0,40.0,24.79
321,Angola,Soybeans,2004,3600,1010.0,40.0,24.22
322,Angola,Soybeans,2005,3793,1010.0,40.0,24.41
323,Angola,Soybeans,2006,4286,1010.0,40.0,24.14
324,Angola,Soybeans,2007,6883,1010.0,40.0,24.24
325,Angola,Soybeans,2008,8575,1010.0,40.0,24.27
326,Angola,Soybeans,2009,4449,1010.0,40.0,24.33
327,Angola,Soybeans,2010,4446,1010.0,40.0,24.44
328,Angola,Soybeans,2011,5294,1010.0,40.0,24.15
329,Angola,Soybeans,2012,1641,1010.0,40.0,24.24
330,Angola,Soybeans,2013,4405,1010.0,40.0,24.55
331,Angola,Sweet potatoes,1990,89342,1010.0,64.0,24.12
332,Angola,Sweet potatoes,1991,83001,1010.0,79.0,24.02
333,Angola,Sweet potatoes,1992,90000,1010.0,23.0,23.96
334,Angola,Sweet potatoes,1993,88095,1010.0,169.0,24.15
335,Angola,Sweet potatoes,1994,83192,1010.0,25.5,24.04
336,Angola,Sweet potatoes,1995,81138,1010.0,336.0,24.56
337,Angola,Sweet potatoes,1996,85455,1010.0,40.0,24.11
338,Angola,Sweet potatoes,1997,78098,1010.0,40.0,24.06
339,Angola,Sweet potatoes,1998,76256,1010.0,40.0,24.96
340,Angola,Sweet potatoes,1999,82865,1010.0,40.0,24.37
341,Angola,Sweet potatoes,2000,34938,1010.0,40.0,24.41
342,Angola,Sweet potatoes,2001,44458,1010.0,40.0,24.43
343,Angola,Sweet potatoes,2002,42190,1010.0,40.0,24.79
344,Angola,Sweet potatoes,2004,45360,1010.0,40.0,24.22
345,Angola,Sweet potatoes,2005,46159,1010.0,40.0,24.41
346,Angola,Sweet potatoes,2006,44240,1010.0,40.0,24.14
347,Angola,Sweet potatoes,2007,58855,1010.0,40.0,24.24
348,Angola,Sweet potatoes,2008,65437,1010.0,40.0,24.27
349,Angola,Sweet potatoes,2009,66475,1010.0,40.0,24.33
350,Angola,Sweet potatoes,2010,63001,1010.0,40.0,24.44
351,Angola,Sweet potatoes,2011,65512,1010.0,40.0,24.15
352,Angola,Sweet potatoes,2012,52954,1010.0,40.0,24.24
353,Angola,Sweet potatoes,2013,73409,1010.0,40.0,24.55
354,Angola,Wheat,1990,7995,1010.0,64.0,24.12
355,Angola,Wheat,1991,8000,1010.0,79.0,24.02
356,Angola,Wheat,1992,8000,1010.0,23.0,23.96
357,Angola,Wheat,1993,8876,1010.0,169.0,24.15
358,Angola,Wheat,1994,10000,1010.0,25.5,24.04
359,Angola,Wheat,1995,11855,1010.0,336.0,24.56
360,Angola,Wheat,1996,13738,1010.0,40.0,24.11
361,Angola,Wheat,1997,15509,1010.0,40.0,24.06
362,Angola,Wheat,1998,17143,1010.0,40.0,24.96
363,Angola,Wheat,1999,17391,1010.0,40.0,24.37
364,Angola,Wheat,2000,17023,1010.0,40.0,24.41
365,Angola,Wheat,2001,16667,1010.0,40.0,24.43
366,Angola,Wheat,2002,15455,1010.0,40.0,24.79
367,Angola,Wheat,2004,12442,1010.0,40.0,24.22
368,Angola,Wheat,2005,10946,1010.0,40.0,24.41
369,Angola,Wheat,2006,10000,1010.0,40.0,24.14
370,Angola,Wheat,2007,10000,1010.0,40.0,24.24
371,Angola,Wheat,2008,10000,1010.0,40.0,24.27
372,Angola,Wheat,2009,10000,1010.0,40.0,24.33
373,Angola,Wheat,2010,10526,1010.0,40.0,24.44
374,Angola,Wheat,2011,10959,1010.0,40.0,24.15
375,Angola,Wheat,2012,11258,1010.0,40.0,24.24
376,Angola,Wheat,2013,9022,1010.0,40.0,24.55
377,Argentina,Cassava,1990,100000,591.0,26156.0,17.46
378,Argentina,Cassava,1990,100000,591.0,26156.0,17.67
379,Argentina,Cassava,1991,100000,591.0,26156.0,17.64
380,Argentina,Cassava,1991,100000,591.0,26156.0,17.86
381,Argentina,Cassava,1992,100000,591.0,26156.0,17.09
382,Argentina,Cassava,1992,100000,591.0,26156.0,17.51
383,Argentina,Cassava,1993,100000,591.0,26156.0,17.32
384,Argentina,Cassava,1993,100000,591.0,26156.0,17.53
385,Argentina,Cassava,1994,100000,591.0,30195.0,18.17
386,Argentina,Cassava,1994,100000,591.0,30195.0,18.31
387,Argentina,Cassava,1995,100000,591.0,37842.0,17.74
388,Argentina,Cassava,1995,100000,591.0,37842.0,17.62
389,Argentina,Cassava,1996,100000,591.0,54595.0,17.64
390,Argentina,Cassava,1996,100000,591.0,54595.0,17.97
391,Argentina,Cassava,1997,100000,591.0,77691.0,18.29
392,Argentina,Cassava,1997,100000,591.0,77691.0,18.54
393,Argentina,Cassava,1998,100000,591.0,62397.0,17.23
394,Argentina,Cassava,1998,100000,591.0,62397.0,17.52
395,Argentina,Cassava,1999,100000,591.0,62831.39,17.15
396,Argentina,Cassava,1999,100000,591.0,62831.39,17.71
397,Argentina,Cassava,2000,100000,591.0,63265.78,16.98
398,Argentina,Cassava,2000,100000,591.0,63265.78,17.66
399,Argentina,Cassava,2001,100000,591.0,63700.17,17.71
400,Argentina,Cassava,2001,100000,591.0,63700.17,18.42
401,Argentina,Cassava,2002,100000,591.0,64134.56,17.58
402,Argentina,Cassava,2002,100000,591.0,64134.56,18.07
403,Argentina,Cassava,2004,100000,591.0,65003.34,17.67
404,Argentina,Cassava,2004,100000,591.0,65003.34,18.11
405,Argentina,Cassava,2005,100000,591.0,65437.73,17.32
406,Argentina,Cassava,2005,100000,591.0,65437.73,17.83
407,Argentina,Cassava,2006,100000,591.0,65872.12,18.1
408,Argentina,Cassava,2006,100000,591.0,65872.12,18.35
409,Argentina,Cassava,2007,100000,591.0,81582.64,16.71
410,Argentina,Cassava,2007,100000,591.0,81582.64,17.14
411,Argentina,Cassava,2008,100000,591.0,87149.01,17.71
412,Argentina,Cassava,2008,100000,591.0,87149.01,18.39
413,Argentina,Cassava,2009,101695,591.0,61586.56,18.16
414,Argentina,Cassava,2009,101695,591.0,61586.56,18.09
415,Argentina,Cassava,2010,101000,591.0,105915.04,17.33
416,Argentina,Cassava,2010,101000,591.0,105915.04,17.84
417,Argentina,Cassava,2011,100000,591.0,100424.62,17.58
418,Argentina,Cassava,2011,100000,591.0,100424.62,17.93
419,Argentina,Cassava,2012,100000,591.0,136185.08,18.18
420,Argentina,Cassava,2012,100000,591.0,136185.08,18.43
421,Argentina,Cassava,2013,99459,591.0,171945.54,16.45
422,Argentina,Cassava,2013,99459,591.0,171945.54,16.88
423,Argentina,Maize,1990,34608,591.0,26156.0,17.46
424,Argentina,Maize,1990,34608,591.0,26156.0,17.67
425,Argentina,Maize,1991,40444,591.0,26156.0,17.64
426,Argentina,Maize,1991,40444,591.0,26156.0,17.86
427,Argentina,Maize,1992,45237,591.0,26156.0,17.09
428,Argentina,Maize,1992,45237,591.0,26156.0,17.51
429,Argentina,Maize,1993,43552,591.0,26156.0,17.32
430,Argentina,Maize,1993,43552,591.0,26156.0,17.53
431,Argentina,Maize,1994,42371,591.0,30195.0,18.17
432,Argentina,Maize,1994,42371,591.0,30195.0,18.31
433,Argentina,Maize,1995,45223,591.0,37842.0,17.74
434,Argentina,Maize,1995,45223,591.0,37842.0,17.62
435,Argentina,Maize,1996,40397,591.0,54595.0,17.64
436,Argentina,Maize,1996,40397,591.0,54595.0,17.97
437,Argentina,Maize,1997,45557,591.0,77691.0,18.29
438,Argentina,Maize,1997,45557,591.0,77691.0,18.54
439,Argentina,Maize,1998,60780,591.0,62397.0,17.23
440,Argentina,Maize,1998,60780,591.0,62397.0,17.52
441,Argentina,Maize,1999,53702,591.0,62831.39,17.15
442,Argentina,Maize,1999,53702,591.0,62831.39,17.71
443,Argentina,Maize,2000,54329,591.0,63265.78,16.98
444,Argentina,Maize,2000,54329,591.0,63265.78,17.66
445,Argentina,Maize,2001,54553,591.0,63700.17,17.71
